date	ouv	haut	bas	clot	vol	devise	
12/01/2024 00:00	2.96	2.96	2.96	2.96	0		
15/01/2024 00:00	2.978	2.978	2.978	2.978	0		
16/01/2024 00:00	2.999	2.999	2.999	2.999	0		
17/01/2024 00:00	3.124	3.124	3.124	3.124	0		
18/01/2024 00:00	3.097	3.097	3.097	3.097	0		
19/01/2024 00:00	3.102	3.102	3.102	3.102	0		
22/01/2024 00:00	3.089	3.089	3.089	3.089	0		
23/01/2024 00:00	3.12	3.12	3.12	3.12	0		
24/01/2024 00:00	3.136	3.136	3.136	3.136	0		
25/01/2024 00:00	3.018	3.018	3.018	3.018	0		
26/01/2024 00:00	3.012	3.012	3.012	3.012	0		
29/01/2024 00:00	2.92	2.92	2.92	2.92	0		
30/01/2024 00:00	2.993	2.993	2.993	2.993	0		
31/01/2024 00:00	2.918	2.918	2.918	2.918	0		
01/02/2024 00:00	2.954	2.954	2.954	2.954	0		
02/02/2024 00:00	3.061	3.061	3.061	3.061	0		
05/02/2024 00:00	3.156	3.156	3.156	3.156	0		
06/02/2024 00:00	3.117	3.117	3.117	3.117	0		
07/02/2024 00:00	3.133	3.133	3.133	3.133	0		
08/02/2024 00:00	3.192	3.192	3.192	3.192	0		
09/02/2024 00:00	3.251	3.251	3.251	3.251	0		
12/02/2024 00:00	3.201	3.201	3.201	3.201	0		
13/02/2024 00:00	3.293	3.293	3.293	3.293	0		
14/02/2024 00:00	3.222	3.222	3.222	3.222	0		
15/02/2024 00:00	3.232	3.232	3.232	3.232	0		
16/02/2024 00:00	3.276	3.276	3.276	3.276	0		
19/02/2024 00:00	3.28	3.28	3.28	3.28	0		
20/02/2024 00:00	3.252	3.252	3.252	3.252	0		
21/02/2024 00:00	3.318	3.318	3.318	3.318	0		
22/02/2024 00:00	3.362	3.362	3.362	3.362	0		
23/02/2024 00:00	3.306	3.306	3.306	3.306	0		
26/02/2024 00:00	3.367	3.367	3.367	3.367	0		
27/02/2024 00:00	3.355	3.355	3.355	3.355	0		
28/02/2024 00:00	3.383	3.383	3.383	3.383	0		
29/02/2024 00:00	3.371	3.371	3.371	3.371	0		
01/03/2024 00:00	3.388	3.388	3.388	3.388	0		
04/03/2024 00:00	3.382	3.382	3.382	3.382	0		
05/03/2024 00:00	3.308	3.308	3.308	3.308	0		
06/03/2024 00:00	3.302	3.302	3.302	3.302	0		
07/03/2024 00:00	3.268	3.268	3.268	3.268	0		
08/03/2024 00:00	3.171	3.171	3.171	3.171	0		
11/03/2024 00:00	3.152	3.152	3.152	3.152	0		
12/03/2024 00:00	3.161	3.161	3.161	3.161	0		
13/03/2024 00:00	3.166	3.166	3.166	3.166	0		
14/03/2024 00:00	3.245	3.245	3.245	3.245	0		
15/03/2024 00:00	3.325	3.325	3.325	3.325	0		
18/03/2024 00:00	3.278	3.278	3.278	3.278	0		
19/03/2024 00:00	3.287	3.287	3.287	3.287	0		
20/03/2024 00:00	3.297	3.297	3.297	3.297	0		
21/03/2024 00:00	3.266	3.266	3.266	3.266	0		
22/03/2024 00:00	3.24	3.24	3.24	3.24	0		
25/03/2024 00:00	3.278	3.278	3.278	3.278	0		
26/03/2024 00:00	3.232	3.232	3.232	3.232	0		
27/03/2024 00:00	3.216	3.216	3.216	3.216	0		
28/03/2024 00:00	3.235	3.235	3.235	3.235	0		
02/04/2024 00:00	3.258	3.258	3.258	3.258	0		
03/04/2024 00:00	3.329	3.329	3.329	3.329	0		
04/04/2024 00:00	3.241	3.241	3.241	3.241	0		
05/04/2024 00:00	3.307	3.307	3.307	3.307	0		
08/04/2024 00:00	3.305	3.305	3.305	3.305	0		
09/04/2024 00:00	3.279	3.279	3.279	3.279	0		
10/04/2024 00:00	3.351	3.351	3.351	3.351	0		
11/04/2024 00:00	3.403	3.403	3.403	3.403	0		
12/04/2024 00:00	3.298	3.298	3.298	3.298	0		
15/04/2024 00:00	3.338	3.338	3.338	3.338	0		
16/04/2024 00:00	3.416	3.416	3.416	3.416	0		
17/04/2024 00:00	3.384	3.384	3.384	3.384	0		
18/04/2024 00:00	3.441	3.441	3.441	3.441	0		
19/04/2024 00:00	3.441	3.441	3.441	3.441	0		
22/04/2024 00:00	3.359	3.359	3.359	3.359	0		
23/04/2024 00:00	3.375	3.375	3.375	3.375	0		
24/04/2024 00:00	3.454	3.454	3.454	3.454	0		
25/04/2024 00:00	3.422	3.422	3.422	3.422	0		
26/04/2024 00:00	3.437	3.437	3.437	3.437	0		
29/04/2024 00:00	3.371	3.371	3.371	3.371	0		
30/04/2024 00:00	3.381	3.381	3.381	3.381	0		
02/05/2024 00:00	3.423	3.423	3.423	3.423	0		
03/05/2024 00:00	3.352	3.352	3.352	3.352	0		
06/05/2024 00:00	3.339	3.339	3.339	3.339	0		
07/05/2024 00:00	3.36	3.36	3.36	3.36	0		
08/05/2024 00:00	3.37	3.37	3.37	3.37	0		
09/05/2024 00:00	3.408	3.408	3.408	3.408	0		
10/05/2024 00:00	3.435	3.435	3.435	3.435	0		
13/05/2024 00:00	3.405	3.405	3.405	3.405	0		
14/05/2024 00:00	3.432	3.432	3.432	3.432	0		
15/05/2024 00:00	3.311	3.311	3.311	3.311	0		
16/05/2024 00:00	3.349	3.349	3.349	3.349	0		
17/05/2024 00:00	3.398	3.398	3.398	3.398	0		
20/05/2024 00:00	3.385	3.385	3.385	3.385	0		
21/05/2024 00:00	3.373	3.373	3.373	3.373	0		
22/05/2024 00:00	3.417	3.417	3.417	3.417	0		
23/05/2024 00:00	3.522	3.522	3.522	3.522	0		
24/05/2024 00:00	3.516	3.516	3.516	3.516	0		
27/05/2024 00:00	3.458	3.458	3.458	3.458	0		
28/05/2024 00:00	3.491	3.491	3.491	3.491	0		
29/05/2024 00:00	3.541	3.541	3.541	3.541	0		
30/05/2024 00:00	3.49	3.49	3.49	3.49	0		
31/05/2024 00:00	3.417	3.417	3.417	3.417	0		
03/06/2024 00:00	3.46	3.46	3.46	3.46	0		
04/06/2024 00:00	3.409	3.409	3.409	3.409	0		
05/06/2024 00:00	3.369	3.369	3.369	3.369	0		
06/06/2024 00:00	3.424	3.424	3.424	3.424	0		
07/06/2024 00:00	3.52	3.52	3.52	3.52	0		
10/06/2024 00:00	3.559	3.559	3.559	3.559	0		
11/06/2024 00:00	3.542	3.542	3.542	3.542	0		
12/06/2024 00:00	3.49	3.49	3.49	3.49	0		
13/06/2024 00:00	3.489	3.489	3.489	3.489	0		
14/06/2024 00:00	3.425	3.425	3.425	3.425	0		
17/06/2024 00:00	3.435	3.435	3.435	3.435	0		
18/06/2024 00:00	3.394	3.394	3.394	3.394	0		
19/06/2024 00:00	3.44	3.44	3.44	3.44	0		
20/06/2024 00:00	3.428	3.428	3.428	3.428	0		
21/06/2024 00:00	3.404	3.404	3.404	3.404	0		
24/06/2024 00:00	3.344	3.344	3.344	3.344	0		
25/06/2024 00:00	3.419	3.419	3.419	3.419	0		
26/06/2024 00:00	3.43	3.43	3.43	3.43	0		
27/06/2024 00:00	3.441	3.441	3.441	3.441	0		
28/06/2024 00:00	3.446	3.446	3.446	3.446	0		
01/07/2024 00:00	3.474	3.474	3.474	3.474	0		
02/07/2024 00:00	3.532	3.532	3.532	3.532	0		
03/07/2024 00:00	3.42	3.42	3.42	3.42	0		
04/07/2024 00:00	3.437	3.437	3.437	3.437	0		
05/07/2024 00:00	3.36	3.36	3.36	3.36	0		
08/07/2024 00:00	3.316	3.316	3.316	3.316	0		
09/07/2024 00:00	3.363	3.363	3.363	3.363	0		
10/07/2024 00:00	3.285	3.285	3.285	3.285	0		
11/07/2024 00:00	3.213	3.213	3.213	3.213	0		
12/07/2024 00:00	3.23	3.23	3.23	3.23	0		
15/07/2024 00:00	3.185	3.185	3.185	3.185	0		
16/07/2024 00:00	3.142	3.142	3.142	3.142	0		
17/07/2024 00:00	3.171	3.171	3.171	3.171	0		
18/07/2024 00:00	3.134	3.134	3.134	3.134	0		
