date	ouv	haut	bas	clot	vol	devise	
12/01/2024 00:00	3.687	3.687	3.687	3.687	0		
15/01/2024 00:00	3.732	3.732	3.732	3.732	0		
16/01/2024 00:00	3.765	3.765	3.765	3.765	0		
17/01/2024 00:00	3.866	3.866	3.866	3.866	0		
18/01/2024 00:00	3.86	3.86	3.86	3.86	0		
19/01/2024 00:00	3.828	3.828	3.828	3.828	0		
22/01/2024 00:00	3.793	3.793	3.793	3.793	0		
23/01/2024 00:00	3.864	3.864	3.864	3.864	0		
24/01/2024 00:00	3.837	3.837	3.837	3.837	0		
25/01/2024 00:00	3.771	3.771	3.771	3.771	0		
26/01/2024 00:00	3.759	3.759	3.759	3.759	0		
29/01/2024 00:00	3.691	3.691	3.691	3.691	0		
30/01/2024 00:00	3.76	3.76	3.76	3.76	0		
31/01/2024 00:00	3.677	3.677	3.677	3.677	0		
01/02/2024 00:00	3.663	3.663	3.663	3.663	0		
02/02/2024 00:00	3.769	3.769	3.769	3.769	0		
05/02/2024 00:00	3.851	3.851	3.851	3.851	0		
06/02/2024 00:00	3.807	3.807	3.807	3.807	0		
07/02/2024 00:00	3.824	3.824	3.824	3.824	0		
08/02/2024 00:00	3.887	3.887	3.887	3.887	0		
09/02/2024 00:00	3.91	3.91	3.91	3.91	0		
12/02/2024 00:00	3.869	3.869	3.869	3.869	0		
13/02/2024 00:00	3.886	3.886	3.886	3.886	0		
14/02/2024 00:00	3.837	3.837	3.837	3.837	0		
15/02/2024 00:00	3.794	3.794	3.794	3.794	0		
16/02/2024 00:00	3.827	3.827	3.827	3.827	0		
19/02/2024 00:00	3.852	3.852	3.852	3.852	0		
20/02/2024 00:00	3.808	3.808	3.808	3.808	0		
21/02/2024 00:00	3.889	3.889	3.889	3.889	0		
22/02/2024 00:00	3.858	3.858	3.858	3.858	0		
23/02/2024 00:00	3.769	3.769	3.769	3.769	0		
26/02/2024 00:00	3.831	3.831	3.831	3.831	0		
27/02/2024 00:00	3.846	3.846	3.846	3.846	0		
28/02/2024 00:00	3.844	3.844	3.844	3.844	0		
29/02/2024 00:00	3.797	3.797	3.797	3.797	0		
01/03/2024 00:00	3.826	3.826	3.826	3.826	0		
04/03/2024 00:00	3.77	3.77	3.77	3.77	0		
05/03/2024 00:00	3.66	3.66	3.66	3.66	0		
06/03/2024 00:00	3.612	3.612	3.612	3.612	0		
07/03/2024 00:00	3.571	3.571	3.571	3.571	0		
