date	ouv	haut	bas	clot	vol	devise	
12/01/2024 00:00	3.057	3.057	3.057	3.057	0		
15/01/2024 00:00	3.107	3.107	3.107	3.107	0		
16/01/2024 00:00	3.123	3.123	3.123	3.123	0		
17/01/2024 00:00	3.267	3.267	3.267	3.267	0		
18/01/2024 00:00	3.233	3.233	3.233	3.233	0		
19/01/2024 00:00	3.217	3.217	3.217	3.217	0		
22/01/2024 00:00	3.183	3.183	3.183	3.183	0		
23/01/2024 00:00	3.239	3.239	3.239	3.239	0		
24/01/2024 00:00	3.237	3.237	3.237	3.237	0		
25/01/2024 00:00	3.14	3.14	3.14	3.14	0		
26/01/2024 00:00	3.134	3.134	3.134	3.134	0		
29/01/2024 00:00	3.056	3.056	3.056	3.056	0		
30/01/2024 00:00	3.13	3.13	3.13	3.13	0		
31/01/2024 00:00	3.038	3.038	3.038	3.038	0		
01/02/2024 00:00	3.027	3.027	3.027	3.027	0		
02/02/2024 00:00	3.144	3.144	3.144	3.144	0		
05/02/2024 00:00	3.23	3.23	3.23	3.23	0		
06/02/2024 00:00	3.198	3.198	3.198	3.198	0		
07/02/2024 00:00	3.219	3.219	3.219	3.219	0		
08/02/2024 00:00	3.252	3.252	3.252	3.252	0		
09/02/2024 00:00	3.326	3.326	3.326	3.326	0		
12/02/2024 00:00	3.271	3.271	3.271	3.271	0		
13/02/2024 00:00	3.318	3.318	3.318	3.318	0		
14/02/2024 00:00	3.262	3.262	3.262	3.262	0		
15/02/2024 00:00	3.253	3.253	3.253	3.253	0		
16/02/2024 00:00	3.293	3.293	3.293	3.293	0		
19/02/2024 00:00	3.301	3.301	3.301	3.301	0		
20/02/2024 00:00	3.261	3.261	3.261	3.261	0		
21/02/2024 00:00	3.332	3.332	3.332	3.332	0		
22/02/2024 00:00	3.344	3.344	3.344	3.344	0		
23/02/2024 00:00	3.255	3.255	3.255	3.255	0		
26/02/2024 00:00	3.324	3.324	3.324	3.324	0		
27/02/2024 00:00	3.331	3.331	3.331	3.331	0		
28/02/2024 00:00	3.329	3.329	3.329	3.329	0		
29/02/2024 00:00	3.28	3.28	3.28	3.28	0		
01/03/2024 00:00	3.311	3.311	3.311	3.311	0		
04/03/2024 00:00	3.29	3.29	3.29	3.29	0		
05/03/2024 00:00	3.178	3.178	3.178	3.178	0		
06/03/2024 00:00	3.15	3.15	3.15	3.15	0		
07/03/2024 00:00	3.089	3.089	3.089	3.089	0		
08/03/2024 00:00	3.045	3.045	3.045	3.045	0		
11/03/2024 00:00	3.12	3.12	3.12	3.12	0		
12/03/2024 00:00	3.105	3.105	3.105	3.105	0		
13/03/2024 00:00	3.096	3.096	3.096	3.096	0		
14/03/2024 00:00	3.184	3.184	3.184	3.184	0		
15/03/2024 00:00	3.23	3.23	3.23	3.23	0		
18/03/2024 00:00	3.203	3.203	3.203	3.203	0		
19/03/2024 00:00	3.211	3.211	3.211	3.211	0		
20/03/2024 00:00	3.22	3.22	3.22	3.22	0		
