date	ouv	haut	bas	clot	vol	devise	
12/01/2024 00:00	3.562	3.562	3.562	3.562	0		
15/01/2024 00:00	3.618	3.618	3.618	3.618	0		
16/01/2024 00:00	3.647	3.647	3.647	3.647	0		
17/01/2024 00:00	3.744	3.744	3.744	3.744	0		
18/01/2024 00:00	3.737	3.737	3.737	3.737	0		
19/01/2024 00:00	3.708	3.708	3.708	3.708	0		
22/01/2024 00:00	3.676	3.676	3.676	3.676	0		
23/01/2024 00:00	3.742	3.742	3.742	3.742	0		
24/01/2024 00:00	3.723	3.723	3.723	3.723	0		
25/01/2024 00:00	3.647	3.647	3.647	3.647	0		
26/01/2024 00:00	3.646	3.646	3.646	3.646	0		
29/01/2024 00:00	3.57	3.57	3.57	3.57	0		
30/01/2024 00:00	3.645	3.645	3.645	3.645	0		
31/01/2024 00:00	3.552	3.552	3.552	3.552	0		
01/02/2024 00:00	3.537	3.537	3.537	3.537	0		
02/02/2024 00:00	3.628	3.628	3.628	3.628	0		
05/02/2024 00:00	3.723	3.723	3.723	3.723	0		
06/02/2024 00:00	3.682	3.682	3.682	3.682	0		
07/02/2024 00:00	3.694	3.694	3.694	3.694	0		
08/02/2024 00:00	3.756	3.756	3.756	3.756	0		
09/02/2024 00:00	3.788	3.788	3.788	3.788	0		
12/02/2024 00:00	3.74	3.74	3.74	3.74	0		
13/02/2024 00:00	3.769	3.769	3.769	3.769	0		
14/02/2024 00:00	3.696	3.696	3.696	3.696	0		
15/02/2024 00:00	3.673	3.673	3.673	3.673	0		
16/02/2024 00:00	3.704	3.704	3.704	3.704	0		
19/02/2024 00:00	3.724	3.724	3.724	3.724	0		
20/02/2024 00:00	3.684	3.684	3.684	3.684	0		
21/02/2024 00:00	3.757	3.757	3.757	3.757	0		
22/02/2024 00:00	3.743	3.743	3.743	3.743	0		
23/02/2024 00:00	3.642	3.642	3.642	3.642	0		
26/02/2024 00:00	3.717	3.717	3.717	3.717	0		
27/02/2024 00:00	3.723	3.723	3.723	3.723	0		
28/02/2024 00:00	3.728	3.728	3.728	3.728	0		
29/02/2024 00:00	3.665	3.665	3.665	3.665	0		
01/03/2024 00:00	3.704	3.704	3.704	3.704	0		
04/03/2024 00:00	3.661	3.661	3.661	3.661	0		
05/03/2024 00:00	3.548	3.548	3.548	3.548	0		
06/03/2024 00:00	3.5	3.5	3.5	3.5	0		
07/03/2024 00:00	3.439	3.439	3.439	3.439	0		
08/03/2024 00:00	3.41	3.41	3.41	3.41	0		
11/03/2024 00:00	3.525	3.525	3.525	3.525	0		
12/03/2024 00:00	3.506	3.506	3.506	3.506	0		
13/03/2024 00:00	3.48	3.48	3.48	3.48	0		
14/03/2024 00:00	3.578	3.578	3.578	3.578	0		
15/03/2024 00:00	3.619	3.619	3.619	3.619	0		
18/03/2024 00:00	3.591	3.591	3.591	3.591	0		
19/03/2024 00:00	3.595	3.595	3.595	3.595	0		
20/03/2024 00:00	3.613	3.613	3.613	3.613	0		
21/03/2024 00:00	3.574	3.574	3.574	3.574	0		
22/03/2024 00:00	3.534	3.534	3.534	3.534	0		
25/03/2024 00:00	3.593	3.593	3.593	3.593	0		
26/03/2024 00:00	3.546	3.546	3.546	3.546	0		
27/03/2024 00:00	3.513	3.513	3.513	3.513	0		
28/03/2024 00:00	3.572	3.572	3.572	3.572	0		
02/04/2024 00:00	3.69	3.69	3.69	3.69	0		
03/04/2024 00:00	3.732	3.732	3.732	3.732	0		
04/04/2024 00:00	3.605	3.605	3.605	3.605	0		
05/04/2024 00:00	3.684	3.684	3.684	3.684	0		
08/04/2024 00:00	3.695	3.695	3.695	3.695	0		
09/04/2024 00:00	3.614	3.614	3.614	3.614	0		
10/04/2024 00:00	3.664	3.664	3.664	3.664	0		
11/04/2024 00:00	3.764	3.764	3.764	3.764	0		
12/04/2024 00:00	3.633	3.633	3.633	3.633	0		
15/04/2024 00:00	3.73	3.73	3.73	3.73	0		
16/04/2024 00:00	3.799	3.799	3.799	3.799	0		
17/04/2024 00:00	3.774	3.774	3.774	3.774	0		
18/04/2024 00:00	3.776	3.776	3.776	3.776	0		
19/04/2024 00:00	3.797	3.797	3.797	3.797	0		
22/04/2024 00:00	3.724	3.724	3.724	3.724	0		
23/04/2024 00:00	3.699	3.699	3.699	3.699	0		
24/04/2024 00:00	3.846	3.846	3.846	3.846	0		
25/04/2024 00:00	3.851	3.851	3.851	3.851	0		
26/04/2024 00:00	3.784	3.784	3.784	3.784	0		
29/04/2024 00:00	3.717	3.717	3.717	3.717	0		
30/04/2024 00:00	3.777	3.777	3.777	3.777	0		
02/05/2024 00:00	3.738	3.738	3.738	3.738	0		
