date	ouv	haut	bas	clot	vol	devise	
12/01/2024 00:00	2.872	2.872	2.872	2.872	0		
15/01/2024 00:00	2.915	2.915	2.915	2.915	0		
16/01/2024 00:00	2.917	2.917	2.917	2.917	0		
17/01/2024 00:00	3.07	3.07	3.07	3.07	0		
18/01/2024 00:00	3.024	3.024	3.024	3.024	0		
19/01/2024 00:00	3.037	3.037	3.037	3.037	0		
22/01/2024 00:00	3.01	3.01	3.01	3.01	0		
23/01/2024 00:00	3.038	3.038	3.038	3.038	0		
24/01/2024 00:00	3.002	3.002	3.002	3.002	0		
25/01/2024 00:00	2.93	2.93	2.93	2.93	0		
26/01/2024 00:00	2.625	2.625	2.625	2.625	0		
29/01/2024 00:00	2.848	2.848	2.848	2.848	0		
30/01/2024 00:00	2.917	2.917	2.917	2.917	0		
31/01/2024 00:00	2.852	2.852	2.852	2.852	0		
01/02/2024 00:00	2.854	2.854	2.854	2.854	0		
02/02/2024 00:00	2.998	2.998	2.998	2.998	0		
05/02/2024 00:00	3.053	3.053	3.053	3.053	0		
06/02/2024 00:00	3.021	3.021	3.021	3.021	0		
07/02/2024 00:00	3.057	3.057	3.057	3.057	0		
08/02/2024 00:00	3.1	3.1	3.1	3.1	0		
09/02/2024 00:00	3.19	3.19	3.19	3.19	0		
12/02/2024 00:00	3.139	3.139	3.139	3.139	0		
13/02/2024 00:00	3.195	3.195	3.195	3.195	0		
14/02/2024 00:00	2.897	2.897	2.897	2.897	0		
15/02/2024 00:00	3.119	3.119	3.119	3.119	0		
16/02/2024 00:00	3.163	3.163	3.163	3.163	0		
19/02/2024 00:00	3.177	3.177	3.177	3.177	0		
20/02/2024 00:00	3.133	3.133	3.133	3.133	0		
21/02/2024 00:00	3.22	3.22	3.22	3.22	0		
22/02/2024 00:00	3.226	3.226	3.226	3.226	0		
23/02/2024 00:00	3.19	3.19	3.19	3.19	0		
26/02/2024 00:00	3.254	3.254	3.254	3.254	0		
27/02/2024 00:00	3.226	3.226	3.226	3.226	0		
28/02/2024 00:00	3.251	3.251	3.251	3.251	0		
29/02/2024 00:00	3.207	3.207	3.207	3.207	0		
01/03/2024 00:00	3.256	3.256	3.256	3.256	0		
04/03/2024 00:00	3.231	3.231	3.231	3.231	0		
05/03/2024 00:00	3.152	3.152	3.152	3.152	0		
06/03/2024 00:00	3.15	3.15	3.15	3.15	0		
07/03/2024 00:00	3.059	3.059	3.059	3.059	0		
08/03/2024 00:00	3.011	3.011	3.011	3.011	0		
11/03/2024 00:00	3.076	3.076	3.076	3.076	0		
12/03/2024 00:00	3.06	3.06	3.06	3.06	0		
