date	ouv	haut	bas	clot	vol	devise	
12/01/2024 00:00	3.266	3.266	3.266	3.266	0		
15/01/2024 00:00	3.301	3.301	3.301	3.301	0		
16/01/2024 00:00	3.333	3.333	3.333	3.333	0		
17/01/2024 00:00	3.402	3.402	3.402	3.402	0		
18/01/2024 00:00	3.432	3.432	3.432	3.432	0		
19/01/2024 00:00	3.415	3.415	3.415	3.415	0		
22/01/2024 00:00	3.386	3.386	3.386	3.386	0		
23/01/2024 00:00	3.425	3.425	3.425	3.425	0		
24/01/2024 00:00	3.419	3.419	3.419	3.419	0		
25/01/2024 00:00	3.338	3.338	3.338	3.338	0		
26/01/2024 00:00	3.33	3.33	3.33	3.33	0		
29/01/2024 00:00	3.247	3.247	3.247	3.247	0		
30/01/2024 00:00	3.326	3.326	3.326	3.326	0		
31/01/2024 00:00	3.231	3.231	3.231	3.231	0		
01/02/2024 00:00	3.233	3.233	3.233	3.233	0		
02/02/2024 00:00	3.344	3.344	3.344	3.344	0		
05/02/2024 00:00	3.423	3.423	3.423	3.423	0		
06/02/2024 00:00	3.383	3.383	3.383	3.383	0		
07/02/2024 00:00	3.397	3.397	3.397	3.397	0		
08/02/2024 00:00	3.46	3.46	3.46	3.46	0		
09/02/2024 00:00	3.511	3.511	3.511	3.511	0		
12/02/2024 00:00	3.452	3.452	3.452	3.452	0		
13/02/2024 00:00	3.492	3.492	3.492	3.492	0		
14/02/2024 00:00	3.432	3.432	3.432	3.432	0		
15/02/2024 00:00	3.409	3.409	3.409	3.409	0		
16/02/2024 00:00	3.447	3.447	3.447	3.447	0		
19/02/2024 00:00	3.472	3.472	3.472	3.472	0		
20/02/2024 00:00	3.42	3.42	3.42	3.42	0		
21/02/2024 00:00	3.5	3.5	3.5	3.5	0		
22/02/2024 00:00	3.513	3.513	3.513	3.513	0		
23/02/2024 00:00	3.419	3.419	3.419	3.419	0		
26/02/2024 00:00	3.474	3.474	3.474	3.474	0		
27/02/2024 00:00	3.487	3.487	3.487	3.487	0		
28/02/2024 00:00	3.48	3.48	3.48	3.48	0		
29/02/2024 00:00	3.445	3.445	3.445	3.445	0		
01/03/2024 00:00	3.464	3.464	3.464	3.464	0		
04/03/2024 00:00	3.429	3.429	3.429	3.429	0		
05/03/2024 00:00	3.323	3.323	3.323	3.323	0		
06/03/2024 00:00	3.29	3.29	3.29	3.29	0		
07/03/2024 00:00	3.231	3.231	3.231	3.231	0		
08/03/2024 00:00	3.183	3.183	3.183	3.183	0		
11/03/2024 00:00	3.235	3.235	3.235	3.235	0		
12/03/2024 00:00	3.228	3.228	3.228	3.228	0		
13/03/2024 00:00	3.205	3.205	3.205	3.205	0		
14/03/2024 00:00	3.287	3.287	3.287	3.287	0		
15/03/2024 00:00	3.341	3.341	3.341	3.341	0		
18/03/2024 00:00	3.32	3.32	3.32	3.32	0		
19/03/2024 00:00	3.319	3.319	3.319	3.319	0		
20/03/2024 00:00	3.336	3.336	3.336	3.336	0		
21/03/2024 00:00	3.293	3.293	3.293	3.293	0		
22/03/2024 00:00	3.246	3.246	3.246	3.246	0		
25/03/2024 00:00	3.302	3.302	3.302	3.302	0		
26/03/2024 00:00	3.269	3.269	3.269	3.269	0		
27/03/2024 00:00	3.23	3.23	3.23	3.23	0		
28/03/2024 00:00	3.273	3.273	3.273	3.273	0		
02/04/2024 00:00	3.373	3.373	3.373	3.373	0		
03/04/2024 00:00	3.429	3.429	3.429	3.429	0		
04/04/2024 00:00	3.305	3.305	3.305	3.305	0		
05/04/2024 00:00	3.386	3.386	3.386	3.386	0		
08/04/2024 00:00	3.399	3.399	3.399	3.399	0		
09/04/2024 00:00	3.323	3.323	3.323	3.323	0		
10/04/2024 00:00	3.374	3.374	3.374	3.374	0		
11/04/2024 00:00	3.468	3.468	3.468	3.468	0		
12/04/2024 00:00	3.332	3.332	3.332	3.332	0		
15/04/2024 00:00	3.417	3.417	3.417	3.417	0		
16/04/2024 00:00	3.487	3.487	3.487	3.487	0		
17/04/2024 00:00	3.47	3.47	3.47	3.47	0		
18/04/2024 00:00	3.479	3.479	3.479	3.479	0		
19/04/2024 00:00	3.517	3.517	3.517	3.517	0		
22/04/2024 00:00	3.444	3.444	3.444	3.444	0		
23/04/2024 00:00	3.429	3.429	3.429	3.429	0		
24/04/2024 00:00	3.546	3.546	3.546	3.546	0		
25/04/2024 00:00	3.584	3.584	3.584	3.584	0		
26/04/2024 00:00	3.497	3.497	3.497	3.497	0		
29/04/2024 00:00	3.434	3.434	3.434	3.434	0		
30/04/2024 00:00	3.517	3.517	3.517	3.517	0		
02/05/2024 00:00	3.468	3.468	3.468	3.468	0		
03/05/2024 00:00	3.418	3.418	3.418	3.418	0		
06/05/2024 00:00	3.392	3.392	3.392	3.392	0		
07/05/2024 00:00	3.364	3.364	3.364	3.364	0		
08/05/2024 00:00	3.39	3.39	3.39	3.39	0		
09/05/2024 00:00	3.425	3.425	3.425	3.425	0		
10/05/2024 00:00	3.453	3.453	3.453	3.453	0		
13/05/2024 00:00	3.441	3.441	3.441	3.441	0		
14/05/2024 00:00	3.473	3.473	3.473	3.473	0		
15/05/2024 00:00	3.331	3.331	3.331	3.331	0		
16/05/2024 00:00	3.346	3.346	3.346	3.346	0		
17/05/2024 00:00	3.408	3.408	3.408	3.408	0		
20/05/2024 00:00	3.419	3.419	3.419	3.419	0		
21/05/2024 00:00	3.406	3.406	3.406	3.406	0		
22/05/2024 00:00	3.419	3.419	3.419	3.419	0		
23/05/2024 00:00	3.506	3.506	3.506	3.506	0		
24/05/2024 00:00	3.499	3.499	3.499	3.499	0		
27/05/2024 00:00	3.44	3.44	3.44	3.44	0		
28/05/2024 00:00	3.497	3.497	3.497	3.497	0		
29/05/2024 00:00	3.583	3.583	3.583	3.583	0		
30/05/2024 00:00	3.563	3.563	3.563	3.563	0		
31/05/2024 00:00	3.556	3.556	3.556	3.556	0		
03/06/2024 00:00	3.484	3.484	3.484	3.484	0		
04/06/2024 00:00	3.456	3.456	3.456	3.456	0		
05/06/2024 00:00	3.397	3.397	3.397	3.397	0		
06/06/2024 00:00	3.489	3.489	3.489	3.489	0		
07/06/2024 00:00	3.584	3.584	3.584	3.584	0		
10/06/2024 00:00	3.675	3.675	3.675	3.675	0		
11/06/2024 00:00	3.659	3.659	3.659	3.659	0		
12/06/2024 00:00	3.522	3.522	3.522	3.522	0		
13/06/2024 00:00	3.561	3.561	3.561	3.561	0		
14/06/2024 00:00	3.501	3.501	3.501	3.501	0		
17/06/2024 00:00	3.523	3.523	3.523	3.523	0		
18/06/2024 00:00	3.492	3.492	3.492	3.492	0		
19/06/2024 00:00	3.539	3.539	3.539	3.539	0		
20/06/2024 00:00	3.53	3.53	3.53	3.53	0		
21/06/2024 00:00	3.516	3.516	3.516	3.516	0		
24/06/2024 00:00	3.509	3.509	3.509	3.509	0		
25/06/2024 00:00	3.516	3.516	3.516	3.516	0		
26/06/2024 00:00	3.551	3.551	3.551	3.551	0		
27/06/2024 00:00	3.59	3.59	3.59	3.59	0		
28/06/2024 00:00	3.622	3.622	3.622	3.622	0		
01/07/2024 00:00	3.661	3.661	3.661	3.661	0		
