date	ouv	haut	bas	clot	vol	devise	
15/01/2024 00:00	3.503	3.503	3.503	3.503	0		
16/01/2024 00:00	3.516	3.516	3.516	3.516	0		
17/01/2024 00:00	3.633	3.633	3.633	3.633	0		
18/01/2024 00:00	3.637	3.637	3.637	3.637	0		
19/01/2024 00:00	3.61	3.61	3.61	3.61	0		
22/01/2024 00:00	3.579	3.579	3.579	3.579	0		
23/01/2024 00:00	3.64	3.64	3.64	3.64	0		
24/01/2024 00:00	3.626	3.626	3.626	3.626	0		
25/01/2024 00:00	3.539	3.539	3.539	3.539	0		
26/01/2024 00:00	3.546	3.546	3.546	3.546	0		
29/01/2024 00:00	3.456	3.456	3.456	3.456	0		
30/01/2024 00:00	3.426	3.426	3.426	3.426	0		
31/01/2024 00:00	3.437	3.437	3.437	3.437	0		
01/02/2024 00:00	3.438	3.438	3.438	3.438	0		
02/02/2024 00:00	3.536	3.536	3.536	3.536	0		
05/02/2024 00:00	3.619	3.619	3.619	3.619	0		
06/02/2024 00:00	3.577	3.577	3.577	3.577	0		
07/02/2024 00:00	3.601	3.601	3.601	3.601	0		
08/02/2024 00:00	3.659	3.659	3.659	3.659	0		
09/02/2024 00:00	3.699	3.699	3.699	3.699	0		
12/02/2024 00:00	3.641	3.641	3.641	3.641	0		
13/02/2024 00:00	3.665	3.665	3.665	3.665	0		
14/02/2024 00:00	3.609	3.609	3.609	3.609	0		
15/02/2024 00:00	3.582	3.582	3.582	3.582	0		
16/02/2024 00:00	3.616	3.616	3.616	3.616	0		
19/02/2024 00:00	3.634	3.634	3.634	3.634	0		
20/02/2024 00:00	3.588	3.588	3.588	3.588	0		
21/02/2024 00:00	3.666	3.666	3.666	3.666	0		
22/02/2024 00:00	3.652	3.652	3.652	3.652	0		
23/02/2024 00:00	3.555	3.555	3.555	3.555	0		
26/02/2024 00:00	3.617	3.617	3.617	3.617	0		
27/02/2024 00:00	3.625	3.625	3.625	3.625	0		
28/02/2024 00:00	3.63	3.63	3.63	3.63	0		
29/02/2024 00:00	3.581	3.581	3.581	3.581	0		
01/03/2024 00:00	3.615	3.615	3.615	3.615	0		
04/03/2024 00:00	3.572	3.572	3.572	3.572	0		
05/03/2024 00:00	3.458	3.458	3.458	3.458	0		
06/03/2024 00:00	3.414	3.414	3.414	3.414	0		
07/03/2024 00:00	3.361	3.361	3.361	3.361	0		
08/03/2024 00:00	3.324	3.324	3.324	3.324	0		
11/03/2024 00:00	3.397	3.397	3.397	3.397	0		
12/03/2024 00:00	3.385	3.385	3.385	3.385	0		
13/03/2024 00:00	3.356	3.356	3.356	3.356	0		
14/03/2024 00:00	3.442	3.442	3.442	3.442	0		
15/03/2024 00:00	3.486	3.486	3.486	3.486	0		
18/03/2024 00:00	3.452	3.452	3.452	3.452	0		
19/03/2024 00:00	3.501	3.501	3.501	3.501	0		
20/03/2024 00:00	3.486	3.486	3.486	3.486	0		
21/03/2024 00:00	3.44	3.44	3.44	3.44	0		
22/03/2024 00:00	3.401	3.401	3.401	3.401	0		
25/03/2024 00:00	3.459	3.459	3.459	3.459	0		
26/03/2024 00:00	3.431	3.431	3.431	3.431	0		
27/03/2024 00:00	3.38	3.38	3.38	3.38	0		
28/03/2024 00:00	3.433	3.433	3.433	3.433	0		
02/04/2024 00:00	3.556	3.556	3.556	3.556	0		
03/04/2024 00:00	3.595	3.595	3.595	3.595	0		
04/04/2024 00:00	3.472	3.472	3.472	3.472	0		
05/04/2024 00:00	3.549	3.549	3.549	3.549	0		
08/04/2024 00:00	3.574	3.574	3.574	3.574	0		
09/04/2024 00:00	3.477	3.477	3.477	3.477	0		
10/04/2024 00:00	3.543	3.543	3.543	3.543	0		
11/04/2024 00:00	3.637	3.637	3.637	3.637	0		
12/04/2024 00:00	3.504	3.504	3.504	3.504	0		
15/04/2024 00:00	3.595	3.595	3.595	3.595	0		
